iter	Passed	Remaining
0	4	481
1	18	947
2	32	1086
3	45	1133
4	58	1164
5	72	1190
6	86	1196
7	100	1203
8	113	1202
9	127	1203
10	141	1198
11	155	1192
12	168	1181
13	183	1176
14	197	1170
15	210	1158
16	222	1139
17	236	1130
18	249	1116
19	263	1104
20	276	1093
21	290	1083
22	304	1072
23	319	1063
24	333	1054
25	347	1041
26	361	1030
27	373	1014
28	387	1001
29	400	986
30	414	975
31	427	962
32	442	951
33	455	938
34	469	925
35	482	911
36	496	898
37	509	884
38	522	871
39	534	855
40	548	843
41	562	830
42	576	817
43	590	805
44	603	791
45	616	777
46	630	765
47	644	751
48	657	738
49	670	724
50	685	712
51	698	698
52	711	684
53	725	671
54	738	658
55	753	645
56	766	632
57	781	619
58	793	605
59	808	592
60	821	579
61	835	565
62	848	552
63	862	538
64	875	525
65	889	511
66	902	498
67	915	484
68	927	470
69	941	457
70	954	443
71	968	430
72	981	416
73	994	403
74	1008	389
75	1021	376
76	1035	362
77	1048	349
78	1061	336
79	1075	322
80	1088	309
81	1101	295
82	1124	284
83	1139	271
84	1152	257
85	1166	244
86	1180	230
87	1194	217
88	1207	203
89	1220	189
90	1234	176
91	1247	162
92	1260	149
93	1273	135
94	1287	121
95	1300	108
96	1313	94
97	1326	81
98	1339	67
99	1354	54
100	1368	40
101	1380	27
102	1393	13
103	1407	0
